iter	Passed	Remaining
401	14889	3629
402	14924	3592
403	14960	3554
404	14994	3517
405	15040	3482
406	15081	3446
407	15118	3409
408	15149	3370
409	15183	3333
410	15216	3294
411	15247	3256
412	15289	3220
413	15330	3184
414	15366	3147
415	15400	3109
416	15434	3072
417	15466	3034
418	15499	2996
419	15548	2961
420	15590	2925
421	15626	2888
422	15658	2850
423	15691	2812
424	15725	2775
425	15757	2737
426	15800	2701
427	15844	2665
428	15878	2627
429	15910	2590
430	15942	2552
431	15976	2514
432	16011	2477
433	16054	2441
434	16095	2405
435	16133	2368
436	16167	2330
437	16201	2293
438	16234	2255
439	16269	2218
440	16309	2181
441	16350	2145
442	16384	2108
443	16418	2070
444	16450	2033
445	16490	1996
446	16534	1960
447	16577	1924
448	16615	1887
449	16649	1849
450	16683	1812
451	16737	1777
452	16776	1740
453	16815	1703
454	16850	1666
455	16883	1629
456	16916	1591
457	16949	1554
458	16992	1517
459	17032	1481
460	17068	1444
461	17103	1406
462	17134	1369
463	17173	1332
464	17214	1295
465	17259	1259
466	17293	1222
467	17326	1184
468	17356	1147
469	17391	1110
470	17432	1073
471	17473	1036
472	17511	999
473	17547	962
474	17580	925
475	17620	888
476	17660	851
477	17700	814
478	17734	777
479	17770	740
480	17803	703
481	17842	666
482	17884	629
483	17926	592
484	17962	555
485	17995	518
486	18028	481
487	18065	444
488	18107	407
489	18147	370
490	18181	333
491	18215	296
492	18249	259
493	18287	222
494	18327	185
495	18369	148
496	18403	111
497	18436	74
498	18473	37
499	18513	0
