iter	Accuracy	Logloss
0	0.7722392638	0.6774414784
1	0.7862346626	0.6619862195
2	0.7837423313	0.6457279783
3	0.7854677914	0.6305823057
4	0.7873849693	0.6165975763
5	0.7864263804	0.6035918071
6	0.7860429448	0.5920956408
7	0.7889187117	0.5813254234
8	0.7885352761	0.5731331995
9	0.789493865	0.5642636869
10	0.7881518405	0.556055559
11	0.7914110429	0.5499890455
12	0.790452454	0.5427601824
13	0.7912193252	0.5368846389
14	0.7908358896	0.5312758605
15	0.7910276074	0.5266279348
16	0.7910276074	0.5225935745
17	0.7916027607	0.5176087302
18	0.7927530675	0.5135068544
19	0.7935199387	0.5100133818
20	0.7948619632	0.5066414505
21	0.7944785276	0.5022413685
22	0.7944785276	0.4987817032
23	0.7952453988	0.4938861751
24	0.7962039877	0.4915377203
25	0.7963957055	0.4884146535
26	0.7960122699	0.4848865649
27	0.7958205521	0.4816903602
28	0.7985046012	0.4782630721
29	0.799654908	0.4760260963
30	0.8006134969	0.4728975452
31	0.8011886503	0.4704876307
32	0.8009969325	0.4675744541
33	0.8013803681	0.465445042
34	0.8013803681	0.4636583732
35	0.8019555215	0.4613054394
36	0.8029141104	0.4596438909
37	0.8027223926	0.4580214154
38	0.8023389571	0.4566675502
39	0.803297546	0.4546114538
40	0.8029141104	0.4532276256
41	0.8031058282	0.4515430145
42	0.8031058282	0.4498113349
43	0.8025306748	0.4485353203
44	0.8025306748	0.4465181522
45	0.8023389571	0.4455854268
46	0.8029141104	0.4437588254
47	0.8023389571	0.4429686789
48	0.8031058282	0.4415971104
49	0.8040644172	0.4401037734
50	0.8036809816	0.4393276391
51	0.8034892638	0.4384719708
52	0.8029141104	0.4378157244
53	0.8038726994	0.4364662702
54	0.8036809816	0.4354442916
55	0.8038726994	0.4337856815
56	0.8046395706	0.4327760357
57	0.8046395706	0.4319742272
58	0.8055981595	0.4309118036
59	0.8061733129	0.4301416043
60	0.8061733129	0.4296227129
61	0.8065567485	0.4288991679
62	0.8073236196	0.4279532243
63	0.8071319018	0.4272261692
64	0.8071319018	0.4263641734
65	0.8075153374	0.4256847476
66	0.8080904908	0.4243315933
67	0.8090490798	0.4236803691
68	0.808857362	0.423091789
69	0.8086656442	0.4221519271
70	0.8084739264	0.4215007161
71	0.8092407975	0.420927329
72	0.8096242331	0.4203864871
73	0.8098159509	0.4193253072
