iter	RMSE
0	0.3806183029
1	0.3622440673
2	0.344627974
3	0.329369712
4	0.3150094573
5	0.3012896172
6	0.2884220933
7	0.2766224918
8	0.2668321274
9	0.2573410608
10	0.2484124031
11	0.2395753492
12	0.2320481895
13	0.2248087912
14	0.2176219973
15	0.211027093
16	0.2053234511
17	0.1994075832
18	0.1939900707
19	0.1892840717
20	0.1847558283
21	0.1807094623
22	0.1772069597
23	0.1734631153
24	0.1704181029
25	0.1671607251
26	0.1645881456
27	0.1616017123
28	0.1592035133
29	0.1566398588
30	0.1539119441
31	0.1522286221
32	0.1500561758
33	0.1481874495
34	0.1463723741
35	0.1447945172
36	0.1432445766
37	0.1418640573
38	0.1402314601
39	0.1389632923
40	0.1376000808
41	0.13641487
42	0.1354438251
43	0.1343864832
44	0.1333313566
45	0.1320408331
46	0.1308848385
47	0.1300050614
48	0.1292639473
49	0.1283945428
50	0.1278379233
51	0.1267102252
52	0.1258019649
53	0.1251075452
54	0.1244746425
55	0.1239126776
56	0.1232036431
57	0.1230360391
58	0.122445529
59	0.1216043758
60	0.1211978954
61	0.1205134962
62	0.1198388462
63	0.1192823489
64	0.1186478412
65	0.1178686902
66	0.1173437262
67	0.1167846009
68	0.1161620512
69	0.1157170744
70	0.1152320768
71	0.1146965758
72	0.1140386089
73	0.1136719731
74	0.1133009308
75	0.1128289171
76	0.1122244523
77	0.1118108741
78	0.1113697175
79	0.1110840001
80	0.110636508
81	0.1101912697
82	0.1100698398
83	0.1097541647
84	0.1096306123
85	0.1093136008
86	0.1090612554
87	0.1088062002
88	0.1086077734
89	0.1084670308
90	0.1080704445
91	0.1076530003
92	0.1073638144
93	0.1069811682
94	0.1069008154
95	0.1066341679
96	0.1063056156
97	0.1058617518
98	0.1053915882
99	0.1049660548
100	0.1047663618
101	0.1043852691
102	0.1043421327
103	0.1040007386
104	0.103590731
105	0.1034480339
106	0.1031288618
107	0.1028144964
108	0.102805095
109	0.1025225093
110	0.1024626612
111	0.1023864816
112	0.1022474777
113	0.1021628122
114	0.1018297318
115	0.1017310717
116	0.1012592718
117	0.1008491593
118	0.1007822674
119	0.1003884595
120	0.1000068916
121	0.09973452806
122	0.09946366038
123	0.09900186971
124	0.09884662935
125	0.09866405021
126	0.09857386075
127	0.09812112113
128	0.09790661473
129	0.09778046577
130	0.0975156417
131	0.09746197
132	0.09726079468
133	0.09692202505
134	0.09688482702
135	0.09676114782
136	0.09672830644
137	0.09641056487
138	0.09612507494
139	0.09592853751
140	0.09556339143
141	0.0954967743
142	0.09535442918
143	0.09496124256
144	0.09479188204
145	0.09472640931
146	0.0946482482
147	0.09442912835
148	0.09438669831
149	0.09426486546
150	0.09396472886
151	0.09391756604
152	0.09386935474
153	0.09353185222
154	0.09346134666
155	0.09342346433
156	0.09339753405
157	0.09303272911
158	0.09301333992
159	0.09251595313
160	0.092265942
161	0.09208867559
162	0.09181010071
163	0.09170394466
164	0.09145240183
165	0.09133080465
166	0.09131759297
167	0.09109064709
168	0.09086662521
169	0.09084868303
170	0.0905466827
171	0.0903325929
172	0.09017724507
173	0.08994172487
174	0.08968644602
175	0.08942756186
176	0.08915420345
177	0.08902529888
178	0.08885279032
179	0.0887247773
180	0.08870072319
181	0.08863806739
182	0.08849478432
183	0.08828596109
184	0.08814525963
185	0.08788588848
186	0.08787071917
187	0.08755749257
188	0.08739360827
189	0.08737610805
190	0.08729718659
191	0.08703347243
